EMPLOYER_NAME,target,value,source,pay
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,156900
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,114900
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,140000
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,130000
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,141400
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,170000
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,160000
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,147100
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,102500
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,131500
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,134600
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,130000
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,124300
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,131040
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,143500
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,183900
"Amazon CENTER, INC.",Amazon,1,SANTA CLARA COUNTY,151500
"Amazon CENTER, INC.",Amazon,20,SAN FRANCISCO COUNTY,117500
"Amazon CENTER, INC.",Amazon,10,SAN FRANCISCO COUNTY,95000
"Amazon CENTER, INC.",Amazon,10,SAN FRANCISCO COUNTY,110000
"Amazon CENTER, INC.",Amazon,10,SAN FRANCISCO COUNTY,102561.5
"Amazon CENTER, INC.",Amazon,10,SAN FRANCISCO COUNTY,117500
"Amazon CENTER, INC.",Amazon,10,SAN FRANCISCO COUNTY,125000
"Amazon CENTER, INC.",Amazon,10,SAN FRANCISCO COUNTY,117500
"Amazon CENTER, INC.",Amazon,10,SAN FRANCISCO COUNTY,130000
"Amazon CENTER, INC.",Amazon,10,SAN FRANCISCO COUNTY,147500
